date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:23	1347/1347	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:23%20GMT	https://a-static.mlcdn.com.br/50x50/title-reference/magazineluiza/200637000/cd4fcf50388e26646f7f86cdc7c03bcd.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/title-reference/magazineluiza/200637000/cd4fcf50388e26646f7f86cdc7c03bcd.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:23	820/820	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:23%20GMT	https://a-static.mlcdn.com.br/50x50/purificador-de-agua-masterfrio-refrigerado-eletronico-parede-mesa-poliestireno-branco-55155/magazineluiza/088889200/777f3b17eaebb9b88f705b12ce5caed7.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/purificador-de-agua-masterfrio-refrigerado-eletronico-parede-mesa-poliestireno-branco-55155/magazineluiza/088889200/777f3b17eaebb9b88f705b12ce5caed7.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:23	1267/1267	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:24%20GMT	https://a-static.mlcdn.com.br/50x50/kindle-paperwhite-amazon-tela-6-4gb-wi-fi-luz-embutida-preto/magazineluiza/213433300/ddcfd065a363046e81bf6d05c2bcf1fa.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/kindle-paperwhite-amazon-tela-6-4gb-wi-fi-luz-embutida-preto/magazineluiza/213433300/ddcfd065a363046e81bf6d05c2bcf1fa.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:24	1457/1457	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:24%20GMT	https://a-static.mlcdn.com.br/50x50/smart-tv-led-32-samsung-un32j4300-wi-fi-conversor-digital-2-hdmi-1-usb/magazineluiza/193365700/19991cfaea3d86d85500c691ebf0146b.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/smart-tv-led-32-samsung-un32j4300-wi-fi-conversor-digital-2-hdmi-1-usb/magazineluiza/193365700/19991cfaea3d86d85500c691ebf0146b.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:24	1177/1177	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:24%20GMT	https://a-static.mlcdn.com.br/50x50/comoda-sapateira-1-porta-4-gavetas-santos-andira-havana-plus/magazineluiza/087780700/684a30db39c560b24a3c6eadf4a14426.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/comoda-sapateira-1-porta-4-gavetas-santos-andira-havana-plus/magazineluiza/087780700/684a30db39c560b24a3c6eadf4a14426.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:24	1325/1325	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:24%20GMT	https://a-static.mlcdn.com.br/50x50/panela-eletrica-mondial-cooker-premium-pe-01-700w-18l/magazineluiza/200605100/23c8327192b9d30eca2331fbac365c75.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/panela-eletrica-mondial-cooker-premium-pe-01-700w-18l/magazineluiza/200605100/23c8327192b9d30eca2331fbac365c75.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:24	1172/1172	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:24%20GMT	https://a-static.mlcdn.com.br/50x50/guarda-roupa-casal-10-portas-3-gavetas-araplac-18490-85/magazineluiza/212814300/a3b600fddaac092b306cfd91041db428.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/guarda-roupa-casal-10-portas-3-gavetas-araplac-18490-85/magazineluiza/212814300/a3b600fddaac092b306cfd91041db428.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:26	1025/1025	---M--	200	added ('OK')	image/jpeg	etag:%222951b40aaefedd90fd1b7c1631756bdb%22	https://d1dhh18vvfes41.cloudfront.net/50x50/010832900.jpg	C:/Meus%20Sites/magalu/d1dhh18vvfes41.cloudfront.net/50x50/010832900.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:26	1241/1241	---M--	200	added ('OK')	image/jpeg	etag:%22f44c2434358e1d80c357faa8e8719eec%22	https://d1dhh18vvfes41.cloudfront.net/50x50/135498900.jpg	C:/Meus%20Sites/magalu/d1dhh18vvfes41.cloudfront.net/50x50/135498900.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:27	904/904	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2019:03:27%20GMT	https://a-static.mlcdn.com.br/50x50/dvd-player-lg-dp132-conexao-usb/magazineluiza/190718500/69448ad1f2dc700c3bca97f991aea084.jpg	C:/Meus%20Sites/magalu/a-static.mlcdn.com.br/50x50/dvd-player-lg-dp132-conexao-usb/magazineluiza/190718500/69448ad1f2dc700c3bca97f991aea084.jpg	(from https://www.magazinevoce.com.br/magazinediegoluan/)
